1789934714.400609285	392	2000000	2000000
1789934714.417464651	392	2000000	1703000
1789934719.517872679	391	2000000	2000000
1789934719.544167864	391	2000000	2000000
1789934724.660510568	391	2000000	2000000
1789934724.672973842	391	2000000	2000000
1789934729.795152760	390	2000000	1503000
1789934729.795151721	390	2000000	1503000
1789934734.908377356	390	2400000	2000000
1789934734.908376525	390	2400000	2000000
1789934740.030639886	390	2400000	2000000
1789934740.034377027	390	2400000	2000000
1789934745.163641532	391	2400000	2000000
1789934745.171275880	391	2400000	2000000
1789934750.292336732	391	2400000	2000000
1789934750.292336732	391	2400000	2000000
1789934755.412992526	392	2000000	2000000
1789934755.412992516	392	2000000	2000000
1789934760.548585552	392	2000000	2000000
1789934760.552754202	392	2000000	1310000
1789934765.671467544	393	2000000	2000000
1789934765.671467532	393	2000000	2000000
1789934770.797004724	394	2000000	2000000
1789934770.797008780	394	2000000	2000000
1789934775.927866886	394	2000000	2000000
1789934775.928639673	394	2000000	2000000
1789934781.038125375	396	2000000	2000000
1789934781.038125382	396	2000000	2000000
1789934786.151995284	396	2000000	2000000
1789934786.155647673	396	2000000	1903000
1789934791.231375117	396	2000000	2000000
1789934791.239784632	396	910000	1150000
1789934796.316007479	397	2000000	2000000
1789934801.404658503	397	2000000	2000000
1789934806.483378593	398	2000000	2000000
1789934811.567540462	398	2000000	2000000
1789934816.671119209	397	2000000	2000000
1789934821.740518824	397	2000000	2000000
