1789937038.975868229	361	2400000	2000000
1789937042.078288498	361	2400000	2000000
1789937045.173852327	361	2400000	900000
1789937048.319639193	361	2400000	2000000
1789937051.467096544	361	2400000	2000000
1789937054.619256980	361	2400000	2000000
1789937057.762014697	361	2400000	2000000
1789937060.845887639	361	2400000	900000
1789937063.976442860	361	2400000	2000000
1789937067.134297014	361	2400000	2000000
1789937070.290172975	361	2400000	2000000
1789937073.410014474	362	2400000	2000000
1789937076.537637648	362	2400000	2000000
1789937079.695159922	363	2400000	2000000
1789937082.844768110	364	2400000	2000000
1789937085.987455388	364	2400000	2000000
1789937089.121795989	365	2400000	2000000
1789937092.246172646	365	2400000	2000000
1789937095.371353826	366	2400000	2000000
1789937098.504012688	367	2400000	2000000
1789937101.641096928	367	2400000	2000000
1789937104.757133675	368	2400000	2000000
1789937107.909249654	368	2400000	2000000
1789937111.068411845	370	2400000	1503000
1789937114.202356296	370	2400000	2000000
1789937117.337810129	371	2400000	2000000
1789937120.487389815	371	2400000	2000000
1789937123.630505229	372	2400000	2000000
1789937126.774351963	373	2400000	2000000
1789937129.922302918	373	2400000	1600000
1789937132.996888582	374	2400000	740000
1789937136.161169835	374	2400000	2000000
1789937139.287622711	375	2400000	2000000
1789937142.369065914	375	2400000	500000
1789937145.511879280	376	2000000	2000000
1789937148.665134759	377	2000000	2000000
1789937151.803087436	377	2000000	2000000
1789937154.935982932	378	2000000	2000000
1789937158.086433514	378	2000000	2000000
1789937161.232637514	379	2000000	2000000
1789937164.392386935	379	2000000	2000000
1789937167.531143929	380	2000000	2000000
1789937170.668229288	381	2000000	2000000
1789937173.783034249	381	2000000	650000
1789937176.913328569	381	2000000	2000000
1789937180.044601194	381	2000000	2000000
1789937183.190022639	382	2000000	2000000
1789937186.308424235	382	2000000	2000000
1789937189.433169991	382	2000000	2000000
1789937192.579680024	383	2000000	2000000
1789937195.699018899	383	2000000	2000000
1789937198.836971211	383	2000000	2000000
1789937201.968345771	383	2000000	2000000
1789937205.096673575	384	2000000	2000000
1789937208.168446296	384	2000000	650000
1789937211.304266812	385	2000000	2000000
1789937214.380746708	385	2000000	2000000
1789937217.544783106	385	2000000	2000000
1789937220.692548974	386	2000000	2000000
1789937223.830077357	386	2000000	2000000
1789937226.950003930	386	2000000	2000000
1789937230.087858143	386	2000000	2000000
1789937233.238022474	387	2000000	2000000
1789937236.369672685	387	2000000	2000000
1789937239.448482955	387	2000000	2000000
1789937242.591629935	388	2000000	2000000
1789937245.725726140	388	2000000	2000000
1789937248.863861936	388	2000000	2000000
1789937251.948997422	388	2000000	900000
1789937255.088750443	388	2000000	2000000
1789937258.195709972	388	2000000	650000
1789937261.331497131	389	2000000	2000000
1789937264.477927826	389	2000000	2000000
1789937267.612666606	389	2000000	2000000
1789937270.700650044	389	2000000	2000000
1789937273.835451446	389	2000000	2000000
1789937276.961800852	390	2000000	2000000
1789937280.104625607	390	2000000	2000000
1789937283.196748459	390	2000000	900000
1789937286.338273425	391	2000000	2000000
1789937289.460958896	391	2000000	2000000
1789937292.571299928	391	2000000	980000
1789937295.717693898	391	2000000	2000000
1789937298.870815831	392	2000000	1407000
1789937302.002077847	392	2000000	2000000
1789937305.073047468	392	2000000	2000000
1789937308.212352540	392	2000000	2000000
1789937311.337529603	392	2000000	2000000
1789937314.430137259	393	2000000	740000
1789937317.579347732	393	2000000	2000000
1789937320.663575687	393	2000000	900000
1789937323.818638712	393	2000000	2000000
1789937326.951377176	393	2000000	2000000
1789937330.033471867	393	2000000	740000
1789937333.178765254	393	2000000	2000000
1789937336.300482110	394	2000000	2000000
1789937339.417882616	394	2000000	1053000
1789937342.538269643	394	2000000	2000000
1789937345.624556380	394	2000000	740000
1789937348.771412351	395	2000000	2000000
1789937351.899895765	395	2000000	2000000
1789937355.014794339	395	2000000	2000000
1789937358.139620076	396	2000000	2000000
1789937361.281503613	396	2000000	1407000
1789937364.373777669	396	2000000	740000
1789937367.501912302	396	2000000	2000000
1789937370.626661159	397	2000000	2000000
1789937373.736109730	397	2000000	2000000
1789937376.883774746	397	2000000	2000000
1789937379.956691721	397	2000000	900000
1789937383.111916819	397	2000000	2000000
1789937386.261804490	398	2000000	2000000
1789937389.347100471	398	2000000	980000
1789937392.467426545	398	2000000	2000000
1789937395.596101936	398	2000000	2000000
1789937398.732454568	398	2000000	2000000
1789937401.891649240	398	2000000	2000000
1789937405.052401849	398	2000000	2000000
1789937408.238837502	398	2000000	2000000
1789937411.333821541	398	2000000	980000
1789937414.466510223	398	2000000	2000000
1789937417.599396019	398	2000000	2000000
1789937420.732981337	399	2000000	2000000
1789937423.863769442	400	2000000	1800000
1789937427.007157757	400	2000000	2000000
1789937430.136725203	400	2000000	2000000
1789937433.260880718	400	2000000	2000000
1789937436.349486919	401	2000000	900000
1789937439.508596714	401	2000000	2000000
1789937442.641894138	401	2000000	2000000
1789937445.772395288	401	2000000	2000000
1789937448.913234889	401	2000000	2000000
1789937452.014125759	402	2000000	2000000
1789937455.130421496	402	2000000	2000000
1789937458.276532666	402	2000000	2000000
1789937461.443853152	402	2000000	2000000
1789937464.612948225	402	2000000	2000000
1789937467.710774058	402	2000000	1053000
1789937470.848491391	402	2000000	2000000
1789937473.980099425	403	2000000	2000000
1789937477.105841323	403	2000000	2000000
1789937480.224864435	403	2000000	2000000
1789937483.355387566	403	2000000	2000000
1789937486.486067400	403	2000000	2000000
