1789924883.999417516	372	2400000	2000000
1789924894.136650912	372	2400000	2000000
1789924904.284981230	372	2400000	2000000
1789924914.384273470	372	2400000	2000000
1789924924.536741831	374	2400000	2000000
1789924934.678286473	375	2400000	2000000
1789924944.755059275	376	2400000	900000
1789924954.880801112	378	2000000	2000000
1789924965.048100889	379	2000000	2000000
1789924975.195400715	380	2400000	2000000
1789924985.350432676	382	2400000	2000000
1789924995.496657936	383	2000000	2000000
1789925005.629298583	385	2000000	2000000
1789925015.752908110	387	2000000	2000000
1789925025.889416100	389	2000000	2000000
1789925036.040381060	390	2000000	2000000
1789925046.184387796	391	2000000	2000000
1789925056.262639054	392	2000000	2000000
1789925066.392250225	393	2000000	2000000
1789925076.517122578	394	2000000	2000000
1789925086.644142607	394	2000000	2000000
1789925096.784137278	396	2000000	2000000
1789925106.941230323	397	2000000	1407000
1789925117.048694326	397	2000000	2000000
1789925127.216965592	398	2000000	2000000
1789925137.368417536	399	2000000	2000000
1789925147.505469974	400	2000000	2000000
1789925157.644066886	401	2000000	2000000
1789925167.796853708	402	2000000	2000000
1789925177.963995949	403	2000000	2000000
1789925188.106866408	403	2000000	2000000
1789925198.237146191	404	2000000	2000000
1789925208.367347396	405	2000000	2000000
1789925218.496718397	406	2000000	2000000
1789925228.636874432	407	2000000	2000000
1789925238.755952497	407	2000000	2000000
1789925248.905137852	408	2000000	2000000
1789925259.032692592	408	2000000	2000000
1789925269.158781456	409	2000000	2000000
1789925279.304158026	410	2000000	2000000
