1789923518.623456430	351
1789923533.717304258	351
1789923548.792894177	352
1789923563.864358060	355
1789923578.944014393	359
1789923594.019505200	363
1789923609.094430776	365
1789923624.180810353	369
1789923639.261254105	372
1789923654.340178058	376
1789923669.425206356	378
1789923684.509221167	381
1789923699.588511403	382
1789923714.681351119	384
1789923729.771752793	386
1789923744.856038118	387
1789923759.934945785	389
1789923775.020035789	390
1789923790.103600322	391
1789923805.185304168	393
1789923820.272360158	394
1789923835.348909888	395
